path	bytes	lines
internal/safefile/directory_digest.go	1154	43
internal/safefile/directory_shallow_unix.go	10648	239
internal/safefile/directory_shallow_unix_test.go	9274	252
internal/safefile/directory_unix.go	52010	1214
internal/safefile/directory_unix_test.go	29831	797
internal/safefile/ownership_policy_test.go	818	25
internal/safefile/parent_chain_unix.go	24124	595
internal/safefile/parent_chain_unix_test.go	21955	571
internal/safefile/read_authorized_limit_unix_test.go	8562	263
internal/safefile/read_limit_unix_test.go	8003	223
internal/safefile/removal_open_darwin.go	384	11
internal/safefile/removal_open_linux.go	348	11
internal/safefile/replace_unix.go	21980	612
internal/safefile/replace_unix_test.go	21616	683
internal/safefile/replace_unsupported.go	6565	188
internal/safefile/safefile.go	15517	395
internal/safefile/unsupported_test.go	6516	107
internal/scripts/scripts.go	20834	398
internal/scripts/scripts_test.go	11149	340
internal/theme/names.go	362	21
internal/theme/palettes.go	6602	266
internal/theme/theme.go	786	32
internal/tools/AGENTS.md	6429	178
internal/tools/accepted_authority_test.go	14936	432
internal/tools/ai_cli_tools_test.go	6258	159
internal/tools/application_type.go	4474	145
internal/tools/application_type_test.go	4819	130
internal/tools/apps.go	16040	617
internal/tools/apps_test.go	4995	199
internal/tools/btop.go	16348	497
internal/tools/btop_import.go	9030	280
internal/tools/btop_import_test.go	7326	164
internal/tools/btop_ownership_test.go	2151	61
internal/tools/claude_code.go	8803	224
internal/tools/claude_code_install_test.go	1680	63
internal/tools/claude_code_test.go	2290	76
internal/tools/codex.go	1262	46
internal/tools/config_validation_test.go	3374	92
internal/tools/config_writer_test.go	36785	924
internal/tools/cursor_agent.go	1985	57
internal/tools/cursor_agent_test.go	6500	159
internal/tools/fzf.go	9671	288
internal/tools/fzf_security_test.go	5845	175
internal/tools/ghostty.go	14899	429
internal/tools/ghostty_import.go	10443	282
internal/tools/ghostty_install_test.go	538	22
internal/tools/ghostty_ownership_test.go	11080	301
internal/tools/ghostty_resolved_authority_test.go	5570	153
internal/tools/git.go	17823	495
internal/tools/git_import.go	16439	461
internal/tools/git_ownership_test.go	13870	372
internal/tools/glow.go	7453	247
internal/tools/glow_import.go	18807	600
internal/tools/glow_import_test.go	13860	391
internal/tools/glow_test.go	1587	53
internal/tools/hermes_agent.go	1910	58
internal/tools/hermes_agent_test.go	10126	217
internal/tools/install_recipe.go	2314	60
internal/tools/install_recipe_test.go	2139	57
internal/tools/installation_health.go	20426	539
internal/tools/installation_health_test.go	42642	796
internal/tools/installed_observer.go	7940	271
internal/tools/installed_observer_test.go	11405	338
internal/tools/lazygit.go	10250	277
internal/tools/lazygit_import.go	17141	476
internal/tools/lazygit_import_test.go	22365	587
internal/tools/managed_config.go	5726	174
internal/tools/managed_config_recovery_test.go	2989	98
internal/tools/moonlight.go	1633	60
internal/tools/native_import.go	1484	54
internal/tools/native_import_test.go	19668	502
internal/tools/neovim.go	32767	782
internal/tools/neovim_overlay_test.go	13243	279
internal/tools/neovim_test.go	5849	172
internal/tools/opencode.go	2637	69
internal/tools/ownership_observation.go	664	15
internal/tools/pi.go	1325	46
internal/tools/recipe_backed.go	1999	61
internal/tools/registry.go	9704	385
internal/tools/registry_test.go	27521	681
internal/tools/simple_tools.go	5741	189
internal/tools/sunshine.go	1514	57
internal/tools/t3_code.go	2008	45
internal/tools/tailscale.go	1333	49
internal/tools/tmux.go	21715	606
internal/tools/tmux_import.go	14698	439
internal/tools/tmux_import_test.go	4764	133
internal/tools/tmux_test.go	7780	237
internal/tools/tool.go	23803	627
internal/tools/tool_test.go	5473	155
internal/tools/tracked_whole_file_test.go	2876	102
internal/tools/yazi.go	24659	607
internal/tools/yazi_import.go	45280	1260
internal/tools/yazi_import_test.go	45821	1087
internal/tools/yazi_test.go	10362	269
internal/tools/yazi_theme.go	8173	399
internal/tools/yazi_writer_policy_test.go	60943	1470
internal/tools/zsh.go	18909	556
internal/tools/zsh_test.go	12066	348
internal/ui/AGENTS.md	7854	177
internal/ui/app.go	50667	1349
internal/ui/backup_count_collision_test.go	3460	88
internal/ui/backup_inventory_test.go	12257	332
internal/ui/backup_retention_authority_test.go	3666	119
internal/ui/backups_restore_test.go	2870	94
internal/ui/btop_native_plan_test.go	12602	331
internal/ui/cache.go	2593	87
internal/ui/components.go	236	9
internal/ui/config_apply.go	21284	533
internal/ui/config_apply_race_test.go	2406	69
internal/ui/config_apply_test.go	2621	81
internal/ui/config_builders_test.go	12053	353
internal/ui/config_footer_test.go	9414	263
internal/ui/config_mouse_test.go	12261	369
internal/ui/cursor_agent_discovery_test.go	12041	311
internal/ui/deepdive.go	12662	430
internal/ui/deps.go	907	32
internal/ui/deps_test.go	503	15
internal/ui/fzf_security_test.go	672	20
internal/ui/global_config_guard_test.go	7157	201
internal/ui/hermes_agent_discovery_test.go	11652	295
internal/ui/hotkeys_cache_test.go	6109	194
internal/ui/hotkeys_migration_save_test.go	3730	125
internal/ui/input_mouse.go	1381	47
internal/ui/install_cache_snapshot_test.go	30670	556
internal/ui/install_execution_test.go	34521	860
internal/ui/install_flow_test.go	9457	267
internal/ui/install_outcome.go	3382	107
internal/ui/install_outcome_test.go	14107	301
internal/ui/install_pi_packages_test.go	1906	51
internal/ui/install_plan.go	59856	1500
internal/ui/install_plan_snapshot_adoption_test.go	26962	583
internal/ui/install_plan_test.go	67463	1772
internal/ui/install_snapshot_cache.go	7204	204
internal/ui/install_snapshot_execution_adoption_test.go	13825	342
internal/ui/installapply_delegation_test.go	1871	43
internal/ui/installation.go	92684	2256
internal/ui/installplan_adapter.go	5724	120
internal/ui/installplan_adapter_test.go	14216	301
internal/ui/installplan_service_wiring_test.go	11947	275
internal/ui/lazygit_plan_test.go	16873	445
internal/ui/main_test.go	1345	37
internal/ui/manage_application_type_test.go	7380	205
internal/ui/manage_config.go	6942	254
internal/ui/manage_dualpane.go	59185	1560
internal/ui/manage_field_apply.go	2528	50
internal/ui/manage_field_apply_test.go	19401	300
internal/ui/manage_install_cancel_test.go	561	19
internal/ui/manage_install_reviewed_execution_test.go	10414	290
internal/ui/manage_installation_truth_test.go	21686	495
internal/ui/manage_pi_reachability_test.go	11558	277
internal/ui/manage_save_race_test.go	4097	159
internal/ui/manage_save_scope.go	5280	142
internal/ui/manage_save_scope_test.go	8528	226
internal/ui/manage_save_transaction.go	16642	394
internal/ui/manage_save_transaction_test.go	33594	811
internal/ui/manager_identity_test.go	1068	45
internal/ui/messages.go	3899	139
internal/ui/native_config_import.go	26593	676
internal/ui/native_config_import_test.go	30641	743
internal/ui/native_yazi_schema_test.go	18370	379
internal/ui/plan_ownership_view.go	1060	37
internal/ui/regression_test.go	13669	369
internal/ui/screen.go	3826	145
internal/ui/screen_animation.go	8649	278
internal/ui/screen_backups.go	17875	523
internal/ui/screen_config_base.go	20508	579
internal/ui/screen_config_btop.go	4474	149
internal/ui/screen_config_claudecode.go	7102	219
internal/ui/screen_config_clitools.go	10098	276
internal/ui/screen_config_clitools_snapshot_test.go	20453	467
internal/ui/screen_config_cliutilities.go	3635	119
internal/ui/screen_config_fzf.go	2556	95
internal/ui/screen_config_ghostty.go	5037	164
internal/ui/screen_config_git.go	3992	131
internal/ui/screen_config_glow.go	8272	292
internal/ui/screen_config_glow_test.go	7506	227
internal/ui/screen_config_guiapps.go	3484	117
internal/ui/screen_config_lazygit.go	8436	267
internal/ui/screen_config_lazygit_test.go	20165	485
internal/ui/screen_config_macapps.go	3400	116
internal/ui/screen_config_neovim.go	4738	168
internal/ui/screen_config_save.go	8188	247
internal/ui/screen_config_tmux.go	9241	306
internal/ui/screen_config_utilities.go	3371	115
internal/ui/screen_config_yazi.go	18235	615
internal/ui/screen_config_yazi_test.go	122351	2874
internal/ui/screen_config_zsh.go	5000	179
internal/ui/screen_deepdivemenu.go	9028	289
internal/ui/screen_error.go	3490	134
internal/ui/screen_factory.go	3367	113
internal/ui/screen_filetree.go	8085	233
internal/ui/screen_golden_test.go	75297	2227
internal/ui/screen_hotkeys.go	34203	1145
internal/ui/screen_hotkeys_test.go	1973	83
internal/ui/screen_mainmenu.go	5600	198
internal/ui/screen_manage.go	21199	754
internal/ui/screen_manage_save.go	8812	256
internal/ui/screen_manager.go	3321	112
internal/ui/screen_manager_test.go	5890	240
internal/ui/screen_navpicker.go	3591	150
internal/ui/screen_progress.go	15181	429
internal/ui/screen_progress_responsive_test.go	8150	216
internal/ui/screen_summary.go	4223	153
internal/ui/screen_test.go	4104	164
internal/ui/screen_themepicker.go	7694	232
internal/ui/screen_update.go	18100	513
internal/ui/screen_users.go	25352	907
internal/ui/screen_users_tiny_test.go	4540	142
internal/ui/screen_welcome.go	6022	198
internal/ui/screens_deepdive.go	8029	314
internal/ui/standalone_config_scope_test.go	2074	58
internal/ui/standalone_config_transaction.go	33796	785
internal/ui/standalone_config_transaction_test.go	56800	1369
internal/ui/standalone_mouse_test.go	18697	525
internal/ui/state_helpers.go	3268	114
internal/ui/streaming.go	5029	132
internal/ui/styles.go	14783	472
internal/ui/sudo_keepalive.go	2532	72
internal/ui/sudo_keepalive_test.go	5032	175
internal/ui/task16_misc_mediums_test.go	2919	97
internal/ui/test_paths_test.go	620	21
internal/ui/theme_race_test.go	1304	50
internal/ui/toolscreens.go	3275	94
internal/ui/toolscreens_test.go	3434	97
internal/ui/widget_globe.go	4720	176
scripts/check-slice-scope.sh	42517	1131
scripts/install-hooks.sh	2565	103
tasks/ai-integrations-source-verification-2026-07-10.md	4388	58
tasks/archive/audit-remediation-todo.md	4891	73
tasks/archive/deep-audit-findings.md	100526	499
tasks/archive/manual-test-plan.md	6875	132
tasks/audit-work/adversarial-architecture-strategy.md	33020	339
tasks/audit-work/adversarial-core-check.md	20555	125
tasks/audit-work/adversarial-tools-check.md	24411	302
tasks/audit-work/adversarial-ui-check.md	27129	285
tasks/audit-work/primary-core-runtime.md	36753	381
tasks/audit-work/primary-tools-docs-release.md	56065	976
tasks/audit-work/primary-ui-dashboard.md	56459	467
tasks/current-slice.scope	1018	21
tasks/implementation-release-plan-2026-07-13.md	36048	592
tasks/install-apply-owner-test.md	10254	149
tasks/lessons.md	4569	58
tasks/new-tools-spec.md	23124	459
tasks/plan-json-contract.md	11647	238
tasks/pre-deployment-audit-2026-07-09.md	30046	420
tasks/pre-release-adversarial-review-2026-07-04.md	22260	207
tasks/release-audit-2026-07-03.md	125694	1221
tasks/release-audit-2026-07-13.md	19383	388
tasks/slice-commit-ledger.tsv	3035	13
tasks/support-json-contract.md	26178	489
tasks/todo.md	44993	628
tasks/workflow-guardrails.md	5812	122
tests/check-slice-scope_test.sh	71075	1382
tests/implementation-release-plan_test.sh	12765	298
tests/implementation-release-plan_todo_test.sh	5869	67
